"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert_extlifeSpan","www.keiruaprod.fr/213.186.33.4","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.keiruaprod.fr/213.186.33.4","443","INFO","not present","",""
"cert_crlDistributionPoints","www.keiruaprod.fr/213.186.33.4","443","INFO","--","",""
"cert_ocspURL","www.keiruaprod.fr/213.186.33.4","443","INFO","http://r10.o.lencr.org","",""
"OCSP_stapling","www.keiruaprod.fr/213.186.33.4","443","LOW","not offered","",""
"cert_mustStapleExtension","www.keiruaprod.fr/213.186.33.4","443","INFO","--","",""
"DNS_CAArecord","www.keiruaprod.fr/213.186.33.4","443","LOW","--","",""
"certificate_transparency","www.keiruaprod.fr/213.186.33.4","443","OK","yes (certificate extension)","",""
"certs_countServer","www.keiruaprod.fr/213.186.33.4","443","INFO","2","",""
"certs_list_ordering_problem","www.keiruaprod.fr/213.186.33.4","443","INFO","no","",""
"cert_caIssuers","www.keiruaprod.fr/213.186.33.4","443","INFO","R10 (Let's Encrypt from US)","",""
